dimension,group,barrier,percentage,reliability
Age group,25-34,Fear of injury,6.732,
Age group,25-34,Physical job,9.102,
Age group,25-34,The weather,5.995,
Age group,25-34,Not good enough,8.053,
Age group,25-34,Too busy doing children's activities,8.098,
Age group,25-34,Looking after child/ren,9.904,
Age group,25-34,Not value for money/not worth it,5.755,
Age group,25-34,No transport/can't get there,3.965,
Age group,25-34,No opportunities/facilities/clubs in my areas,3.414,
Age group,25-34,Too competitive,5.242,
Age group,25-34,Fear of discrimination,3.896,
Age group,25-34,Not familiar with activity/rules,2.964,
Age group,25-34,Pregnancy,5.266,
Age group,25-34,No longer interested/don't like it,1.287,*
Age group,25-34,Not culturally appropriate,1.767,*
Age group,35-44,Poor health or injury,18.636,
Age group,35-44,Increasing age/too old,4.662,
Age group,35-44,Disability,5.984,
Age group,35-44,Too lazy,24.89,
Age group,35-44,Not enough time/too many other commitments,20.932,
Age group,35-44,Don't like sport/physical activity,15.29,
Age group,35-44,Not a priority,14.919,
Age group,35-44,Nobody to do it with,7.866,
Age group,35-44,Can't afford it,9.349,
Age group,35-44,Fear of injury,6.223,
Age group,35-44,Physical job,8.784,
Age group,35-44,The weather,5.33,
Age group,35-44,Not good enough,5.408,
Age group,35-44,Too busy doing children's activities,9.141,
Age group,35-44,Looking after child/ren,10.692,
Age group,35-44,Not value for money/not worth it,5.619,
Age group,35-44,No transport/can't get there,1.584,*
Age group,35-44,No opportunities/facilities/clubs in my areas,3.2,
Age group,35-44,Too competitive,3.786,
Age group,35-44,Fear of discrimination,2.704,
Age group,35-44,Not familiar with activity/rules,1.989,*
Age group,35-44,Pregnancy,2.997,
Age group,35-44,No longer interested/don't like it,0.678,*
Age group,35-44,Not culturally appropriate,0.742,*
Age group,45-54,Poor health or injury,23.294,
Age group,45-54,Increasing age/too old,11.443,
Age group,45-54,Disability,10.97,
Age group,45-54,Too lazy,19.427,
Age group,45-54,Not enough time/too many other commitments,19.997,
Age group,45-54,Don't like sport/physical activity,15.243,
Age group,45-54,Not a priority,12.297,
Age group,45-54,Nobody to do it with,6.386,
Age group,45-54,Can't afford it,8.507,
Age group,45-54,Fear of injury,5.719,
Age group,45-54,Physical job,10.308,
Age group,45-54,The weather,5.752,
Age group,45-54,Not good enough,4.305,
Age group,45-54,Too busy doing children's activities,4.714,
Age group,45-54,Looking after child/ren,2.92,*
Age group,45-54,Not value for money/not worth it,2.979,*
Age group,45-54,No transport/can't get there,2.174,*
Age group,45-54,No opportunities/facilities/clubs in my areas,2.216,*
Age group,45-54,Too competitive,2.225,*
Age group,45-54,Fear of discrimination,1.799,*
Age group,45-54,Not familiar with activity/rules,2.327,*
Age group,45-54,Pregnancy,0.161,**
Age group,45-54,No longer interested/don't like it,0.756,**
Age group,45-54,Not culturally appropriate,0.254,**
Age group,55-64,Poor health or injury,32.517,
Age group,55-64,Increasing age/too old,20.376,
Age group,55-64,Disability,19.633,
Age group,55-64,Too lazy,16.109,
Age group,55-64,Not enough time/too many other commitments,18.129,
Age group,55-64,Don't like sport/physical activity,16.106,
Age group,55-64,Not a priority,14.743,
Age group,55-64,Nobody to do it with,7.348,
Age group,55-64,Can't afford it,7.245,
Age group,55-64,Fear of injury,7.593,
Age group,55-64,Physical job,6.062,
Age group,55-64,The weather,5.168,
Age group,55-64,Not good enough,3.863,
Age group,55-64,Too busy doing children's activities,1.607,*
Age group,55-64,Looking after child/ren,0.71,*
Age group,55-64,Not value for money/not worth it,2.492,*
Age group,55-64,No transport/can't get there,1.24,*
Age group,55-64,No opportunities/facilities/clubs in my areas,1.191,*
Age group,55-64,Too competitive,1.966,*
Age group,55-64,Fear of discrimination,1.665,*
Age group,55-64,Not familiar with activity/rules,1.13,*
Age group,55-64,Pregnancy,0.106,**
Age group,55-64,No longer interested/don't like it,0.0,**
Age group,55-64,Not culturally appropriate,0.372,**
