dimension,group,motivation,percentage,reliability
Age group,45-54,Physio/rehab/physical therapy/post-op,12.059,
Age group,45-54,To be a good role model,11.356,
Age group,45-54,Professional/part of my job,3.799,
Age group,55-64,Physical health or fitness,70.567,
Age group,55-64,Fun/enjoyment,58.223,
Age group,55-64,To lose weight/keep weight off/tone,59.783,
Age group,55-64,To be outdoors/to enjoy nature,57.507,
Age group,55-64,Social reasons,39.465,
Age group,55-64,Psychological/mental health/therapy,38.672,
Age group,55-64,Sense of achievement,29.463,
Age group,55-64,Hobby,17.258,
Age group,55-64,Walk the dog,26.181,
Age group,55-64,Training purposes,14.992,
Age group,55-64,Learn a new skill,7.544,
Age group,55-64,Performance or competition,8.835,
Age group,55-64,Way of getting around,11.659,
Age group,55-64,Physio/rehab/physical therapy/post-op,13.967,
Age group,55-64,To be a good role model,6.193,
Age group,55-64,Professional/part of my job,2.349,
Age group,65+,Physical health or fitness,74.401,
Age group,65+,Fun/enjoyment,49.991,
Age group,65+,To lose weight/keep weight off/tone,45.52,
Age group,65+,To be outdoors/to enjoy nature,52.955,
Age group,65+,Social reasons,39.983,
Age group,65+,Psychological/mental health/therapy,29.705,
Age group,65+,Sense of achievement,28.427,
Age group,65+,Hobby,11.982,
Age group,65+,Walk the dog,18.67,
Age group,65+,Training purposes,8.04,
Age group,65+,Learn a new skill,6.035,
Age group,65+,Performance or competition,8.507,
Age group,65+,Way of getting around,6.247,
Age group,65+,Physio/rehab/physical therapy/post-op,15.664,
Age group,65+,To be a good role model,4.568,
Age group,65+,Professional/part of my job,1.177,
